"","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.1","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.estimate","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.SE","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.df","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.t.ratio","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.p.value","fdr_adjusted_pvals"
"206","E4HN Male Young Control - E3HN Female Young HFD",-1.31225000000002,4.34251910675065,184,-0.302186350305302,1,1
"207","E4HN Male Young Control - E4HN Female Young HFD",5.22319117647058,4.17981977539835,184,1.24962114568033,0.999900401264482,1
"208","E4HN Male Young Control - E2HN Male Young HFD",-2.02354999999999,4.44975794871127,184,-0.454755072820545,1,1
"209","E4HN Male Young Control - E3HN Male Young HFD",-1.88025000000001,4.44975794871127,184,-0.422551073939777,1,1
"210","E4HN Male Young Control - E4HN Male Young HFD",3.12589285714285,4.26426911003076,184,0.733043055324503,0.999999995892343,1
"211","E2HN Female Old HFD - E3HN Female Old HFD",4.75762499999996,4.6059370617233,184,1.03293313309407,0.999996527435055,1
"212","E2HN Female Old HFD - E4HN Female Old HFD",NA,NA,NA,NA,NA,NA
"213","E2HN Female Old HFD - E2HN Male Old HFD",2.09199999999996,5.31847800491284,184,0.393345614679147,1,1
"214","E2HN Female Old HFD - E3HN Male Old HFD",13.0974166666666,4.85508395814306,184,2.69767047894184,0.522261395046074,1
"215","E2HN Female Old HFD - E4HN Male Old HFD",NA,NA,NA,NA,NA,NA
"216","E2HN Female Old HFD - E2HN Female Young HFD",-4.75175000000006,4.30056141642983,184,-1.10491387981265,0.999988166998235,1
"217","E2HN Female Old HFD - E3HN Female Young HFD",1.13074999999995,4.34251910675065,184,0.260390333859936,1,1
"218","E2HN Female Old HFD - E4HN Female Young HFD",7.66619117647055,4.17981977539834,184,1.83409610662937,0.976938524507196,1
"219","E2HN Female Old HFD - E2HN Male Young HFD",0.419449999999978,4.44975794871127,184,0.0942635542954552,1,1
"220","E2HN Female Old HFD - E3HN Male Young HFD",0.562749999999962,4.44975794871127,184,0.126467553176223,1,1
"221","E2HN Female Old HFD - E4HN Male Young HFD",5.56889285714281,4.26426911003076,184,1.30594310852549,0.999794489379653,1
"222","E3HN Female Old HFD - E4HN Female Old HFD",NA,NA,NA,NA,NA,NA
"223","E3HN Female Old HFD - E2HN Male Old HFD",-2.665625,4.6059370617233,184,-0.578736740054947,0.999999999971914,1
"224","E3HN Female Old HFD - E3HN Male Old HFD",8.33979166666668,4.06205467324513,184,2.05309685307709,0.926014619597233,1
"225","E3HN Female Old HFD - E4HN Male Old HFD",NA,NA,NA,NA,NA,NA
"226","E3HN Female Old HFD - E2HN Female Young HFD",-9.50937500000002,3.37983378649003,184,-2.81356291484249,0.434145641978598,1
"227","E3HN Female Old HFD - E3HN Female Young HFD",-3.62687500000001,3.43306279003298,184,-1.05645460681049,0.999994745965543,1
"228","E3HN Female Old HFD - E4HN Female Young HFD",2.90856617647058,3.22480096790881,184,0.901936648312501,0.999999735960524,1
"229","E3HN Female Old HFD - E2HN Male Young HFD",-4.33817499999998,3.56774350674678,184,-1.21594363266201,0.999937100474627,1
"230","E3HN Female Old HFD - E3HN Male Young HFD",-4.194875,3.56774350674676,184,-1.17577818923006,0.999964634103292,1
"231","E3HN Female Old HFD - E4HN Male Young HFD",0.811267857142852,3.33353250630275,184,0.243365815575213,1,1
"232","E4HN Female Old HFD - E2HN Male Old HFD",NA,NA,NA,NA,NA,NA
"233","E4HN Female Old HFD - E3HN Male Old HFD",NA,NA,NA,NA,NA,NA
"234","E4HN Female Old HFD - E4HN Male Old HFD",NA,NA,NA,NA,NA,NA
"235","E4HN Female Old HFD - E2HN Female Young HFD",NA,NA,NA,NA,NA,NA
"236","E4HN Female Old HFD - E3HN Female Young HFD",NA,NA,NA,NA,NA,NA
"237","E4HN Female Old HFD - E4HN Female Young HFD",NA,NA,NA,NA,NA,NA
"238","E4HN Female Old HFD - E2HN Male Young HFD",NA,NA,NA,NA,NA,NA
"239","E4HN Female Old HFD - E3HN Male Young HFD",NA,NA,NA,NA,NA,NA
"240","E4HN Female Old HFD - E4HN Male Young HFD",NA,NA,NA,NA,NA,NA
"241","E2HN Male Old HFD - E3HN Male Old HFD",11.0054166666667,4.85508395814305,184,2.26678194683084,0.829575225345281,1
"242","E2HN Male Old HFD - E4HN Male Old HFD",NA,NA,NA,NA,NA,NA
"243","E2HN Male Old HFD - E2HN Female Young HFD",-6.84375000000002,4.30056141642983,184,-1.59136199609991,0.99607069997158,1
"244","E2HN Male Old HFD - E3HN Female Young HFD",-0.961250000000011,4.34251910675064,184,-0.221357690402722,1,1
"245","E2HN Male Old HFD - E4HN Female Young HFD",5.57419117647058,4.17981977539834,184,1.3335960582031,0.999712288507028,1
"246","E2HN Male Old HFD - E2HN Male Young HFD",-1.67254999999999,4.44975794871128,184,-0.375874377725283,1,1
"247","E2HN Male Old HFD - E3HN Male Young HFD",-1.52925,4.44975794871127,184,-0.343670378844517,1,1
"248","E2HN Male Old HFD - E4HN Male Young HFD",3.47689285714285,4.26426911003077,184,0.815354933619039,0.999999964159457,1
"249","E3HN Male Old HFD - E4HN Male Old HFD",NA,NA,NA,NA,NA,NA
"250","E3HN Male Old HFD - E2HN Female Young HFD",-17.8491666666667,3.71220425735994,184,-4.80823937187141,0.00076828890452918,0.0302104489914627
"251","E3HN Male Old HFD - E3HN Female Young HFD",-11.9666666666667,3.76073186286537,184,-3.18200475413556,0.20473724791451,1
"252","E3HN Male Old HFD - E4HN Female Young HFD",-5.43122549019609,3.57162782309235,184,-1.52065829901999,0.99791092132415,1
"253","E3HN Male Old HFD - E2HN Male Young HFD",-12.6779666666667,3.88406716651445,184,-3.26409563046868,0.167727336188444,1
"254","E3HN Male Old HFD - E3HN Male Young HFD",-12.5346666666667,3.88406716651444,184,-3.22720131483084,0.183701276119028,1
"255","E3HN Male Old HFD - E4HN Male Young HFD",-7.52852380952383,3.67009849931019,184,-2.05131383011623,0.926612653367576,1
"256","E4HN Male Old HFD - E2HN Female Young HFD",NA,NA,NA,NA,NA,NA
"257","E4HN Male Old HFD - E3HN Female Young HFD",NA,NA,NA,NA,NA,NA
"258","E4HN Male Old HFD - E4HN Female Young HFD",NA,NA,NA,NA,NA,NA
"259","E4HN Male Old HFD - E2HN Male Young HFD",NA,NA,NA,NA,NA,NA
"260","E4HN Male Old HFD - E3HN Male Young HFD",NA,NA,NA,NA,NA,NA
"261","E4HN Male Old HFD - E4HN Male Young HFD",NA,NA,NA,NA,NA,NA
"262","E2HN Female Young HFD - E3HN Female Young HFD",5.88250000000001,3.01099525078298,184,1.95367295862401,0.95446639401174,1
"263","E2HN Female Young HFD - E4HN Female Young HFD",12.4179411764706,2.7711935267235,184,4.48108046468803,0.00297891484625612,0.098304189926452
"264","E2HN Female Young HFD - E2HN Male Young HFD",5.17120000000004,3.16369499317846,184,1.63454442073277,0.994379570879658,1
"265","E2HN Female Young HFD - E3HN Male Young HFD",5.31450000000002,3.16369499317844,184,1.67983955831998,0.991990919303545,1
"266","E2HN Female Young HFD - E4HN Male Young HFD",10.3206428571429,2.89700038842002,184,3.56252726040247,0.0743943926656078,1
"267","E3HN Female Young HFD - E4HN Female Young HFD",6.53544117647059,2.83586975345551,184,2.30456323620193,0.807522287226331,1
"268","E3HN Female Young HFD - E2HN Male Young HFD",-0.711299999999974,3.22049836296681,184,-0.220866437374837,1,1
"269","E3HN Female Young HFD - E3HN Male Young HFD",-0.56799999999999,3.22049836296681,184,-0.176370218513862,1,1
"270","E3HN Female Young HFD - E4HN Male Young HFD",4.43814285714286,2.95892800630825,184,1.49991579642392,0.998283966520413,1
"271","E4HN Female Young HFD - E2HN Male Young HFD",-7.24674117647057,2.99750410645065,184,-2.41759174270204,0.73387969747771,1
"272","E4HN Female Young HFD - E3HN Male Young HFD",-7.10344117647058,2.99750410645064,184,-2.36978530277371,0.766319891759381,1
"273","E4HN Female Young HFD - E4HN Male Young HFD",-2.09729831932773,2.71453055035892,184,-0.772619162105369,0.99999998793567,1
"274","E2HN Male Young HFD - E3HN Male Young HFD",0.143299999999984,3.36370083620655,184,0.0426018861301566,1,1
"275","E2HN Male Young HFD - E4HN Male Young HFD",5.14944285714284,3.11418184378177,184,1.65354597626499,0.993462391940132,1
"276","E3HN Male Young HFD - E4HN Male Young HFD",5.00614285714285,3.11418184378177,184,1.60753068005288,0.995496406992826,1
